Pipeline,Classifier,Recall,F2,ROC AUC
Yeo_Johnson_Rand_Over_None,Random Forest,0.144,0.17,0.88
Box_Cox_Rand_Over_None,Random Forest,0.14,0.165,0.879
MinMax_Rand_Over_None,Random Forest,0.147,0.173,0.883
Standardize_Rand_Over_None,Random Forest,0.143,0.168,0.881
Robust_Scaler_Rand_Over_None,Random Forest,0.148,0.174,0.882
None_Rand_Under_None,Random Forest,0.803,0.395,0.881
Yeo_Johnson_Rand_Under_None,Random Forest,0.798,0.392,0.88
Box_Cox_Rand_Under_None,Random Forest,0.797,0.397,0.883
MinMax_Rand_Under_None,Random Forest,0.801,0.397,0.883
Standardize_Rand_Under_None,Random Forest,0.796,0.394,0.882
Robust_Scaler_Rand_Under_None,Random Forest,0.8,0.396,0.882
None_SMOTE_None,Random Forest,0.222,0.247,0.875
Yeo_Johnson_SMOTE_None,Random Forest,0.231,0.26,0.886
Box_Cox_SMOTE_None,Random Forest,0.216,0.245,0.886
MinMax_SMOTE_None,Random Forest,0.256,0.283,0.887
Standardize_SMOTE_None,Random Forest,0.22,0.249,0.886
Robust_Scaler_SMOTE_None,Random Forest,0.169,0.197,0.885
None_SMOTE_Under_None,Random Forest,0.218,0.244,0.874
Yeo_Johnson_SMOTE_Under_None,Random Forest,0.23,0.259,0.885
Box_Cox_SMOTE_Under_None,Random Forest,0.216,0.244,0.883
MinMax_SMOTE_Under_None,Random Forest,0.263,0.291,0.884
Standardize_SMOTE_Under_None,Random Forest,0.219,0.249,0.883
Robust_Scaler_SMOTE_Under_None,Random Forest,0.165,0.192,0.882
None_PCA4_None,Random Forest,0.048,0.058,0.817
Yeo_Johnson_PCA4_None,Random Forest,0.016,0.02,0.778
Box_Cox_PCA4_None,Random Forest,0.007,0.008,0.784
MinMax_PCA4_None,Random Forest,0.006,0.008,0.749
Standardize_PCA4_None,Random Forest,0.016,0.02,0.775
Robust_Scaler_PCA4_None,Random Forest,0.005,0.006,0.755
None_PCA4_Rand_Over,Random Forest,0.091,0.105,0.807
Yeo_Johnson_PCA4_Rand_Over,Random Forest,0.052,0.061,0.769
Box_Cox_PCA4_Rand_Over,Random Forest,0.042,0.05,0.774
MinMax_PCA4_Rand_Over,Random Forest,0.026,0.032,0.74
Standardize_PCA4_Rand_Over,Random Forest,0.056,0.066,0.777
Robust_Scaler_PCA4_Rand_Over,Random Forest,0.032,0.038,0.75
None_PCA4_Rand_Under,Random Forest,0.76,0.344,0.84
Yeo_Johnson_PCA4_Rand_Under,Random Forest,0.73,0.304,0.806
Box_Cox_PCA4_Rand_Under,Random Forest,0.744,0.311,0.81
MinMax_PCA4_Rand_Under,Random Forest,0.712,0.278,0.776
Standardize_PCA4_Rand_Under,Random Forest,0.734,0.312,0.81
Robust_Scaler_PCA4_Rand_Under,Random Forest,0.739,0.293,0.788
None_PCA4_SMOTE,Random Forest,0.425,0.324,0.809
Yeo_Johnson_PCA4_SMOTE,Random Forest,0.331,0.254,0.774
Box_Cox_PCA4_SMOTE,Random Forest,0.324,0.249,0.774
MinMax_PCA4_SMOTE,Random Forest,0.281,0.217,0.739
Standardize_PCA4_SMOTE,Random Forest,0.338,0.261,0.777
Robust_Scaler_PCA4_SMOTE,Random Forest,0.311,0.224,0.753
None_PCA4_SMOTE_Under,Random Forest,0.43,0.33,0.81
Yeo_Johnson_PCA4_SMOTE_Under,Random Forest,0.329,0.254,0.771
Box_Cox_PCA4_SMOTE_Under,Random Forest,0.324,0.25,0.774
MinMax_PCA4_SMOTE_Under,Random Forest,0.285,0.219,0.737
Standardize_PCA4_SMOTE_Under,Random Forest,0.343,0.264,0.778
Robust_Scaler_PCA4_SMOTE_Under,Random Forest,0.31,0.224,0.752
None_PCA8_None,Random Forest,0.03,0.037,0.836
Yeo_Johnson_PCA8_None,Random Forest,0.024,0.029,0.835
Box_Cox_PCA8_None,Random Forest,0.02,0.024,0.83
MinMax_PCA8_None,Random Forest,0.003,0.004,0.794
Standardize_PCA8_None,Random Forest,0.041,0.051,0.834
Robust_Scaler_PCA8_None,Random Forest,0.016,0.02,0.822
None_PCA8_Rand_Over,Random Forest,0.079,0.094,0.834
Yeo_Johnson_PCA8_Rand_Over,Random Forest,0.059,0.071,0.835
Box_Cox_PCA8_Rand_Over,Random Forest,0.058,0.07,0.836
MinMax_PCA8_Rand_Over,Random Forest,0.03,0.037,0.793
Standardize_PCA8_Rand_Over,Random Forest,0.077,0.092,0.837
Robust_Scaler_PCA8_Rand_Over,Random Forest,0.053,0.063,0.822
None_PCA8_Rand_Under,Random Forest,0.775,0.352,0.851
Yeo_Johnson_PCA8_Rand_Under,Random Forest,0.778,0.355,0.848
